ID_autora,Autor,ID_knihy,Nazov,Orig_nazov,Rok_orig_vydania,Prelozene
1,Herbert George Wells,1.1,Stroj casu,The Time Machine,1895,ano
1,Herbert George Wells,1.2,Ostrov doktora Moreaua,The Island of Doctor Moreaua,1896,ano
1,Herbert George Wells,1.3,Neviditelny muz,The Invisible Man,1897,ano
1,Herbert George Wells,1.4,Vojna svetov,The War of the Worlds,1898,ano
1,Herbert George Wells,1.5,Prvy ludia na Mesiaci,The First Men in the Moon,1901,ano
2,John Wyndham,2.1,Den Trifidov,The Day of the Triffids,1951,ano
2,John Wyndham,2.2,Votrelci z hlbin,The Kraken Wakes,1953,ano
2,John Wyndham,2.3,Kukly,The Chrysalids,1955,ano
2,John Wyndham,2.4,Midwichske kukacky,The Midwich Cuckoos,1957,ano
3,Stephan Wul,3.1,Nork,Niourk,1957,ano
3,Stephan Wul,3.2,Fantasticka planeta,Oms by the Dozen,1957,nie
4,Robert Anson Heinlein,4.1,Matuzalemove deti,Methuselah's Children,1958,ano
4,Robert Anson Heinlein,4.2,Hviezdna pechota,Starship Troopers,1959,ano
4,Robert Anson Heinlein,4.3,Kompletni historie budoucnosti,The Past Through Tomorrow,1967,ano
4,Robert Anson Heinlein,4.4,Mesiac je drsna milenka,The Moon is A Harsh Mistress,1966,ano
5,Stanislav Lem,5.1,Solaris,Solaris,1961,ano
6,William Hope Hodgson,6.1,Dom na rozhrani,The House on the Borderland,1908,ano
6,William Hope Hodgson,6.2,Nocna krajina,The Night Land,1912,nie
7,Simon Clark,7.1,Noc Trifidov,The Night of the Triffids,2001,ano
8,Jack Finney,8.1,Invazia zlodejov tiel,Invasion of the Body Snatchers,1955,ano
9,Dan Simmons,9.1,Hyperion,Hyperion,1989,ano
9,Dan Simmons,9.2,Pad Hyperionu,Fall of the Hyperion,1990,ano
9,Dan Simmons,9.3,Endymion,Endymion,1996,ano
9,Dan Simmons,9.4,Vzostup Endymionu,The Rise of Endymion,1997,ano
10,Jevgenij Ivanovic Zamjatin,10.1,My,My,1920,ano
11,Aldous Huxley,11.1,Prekrasny novy svet,Brave New World,1932,ano
12,George Orwell,12.1,1984,Nineteen Eighty-Four,1949,ano
13,Liou Cch'-sin,13.1,Problem troch telies,The three-body problem,2008,ano
13,Liou Cch'-sin,13.2,Temny les,The Dark Forest,2008,ano
13,Liou Cch'-sin,13.3,Spomienka na Zem,Deaths's End,2010,ano
